image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/81nEfmLyyML.jpg,630390,item_weight,1.0 kilogram
https://m.media-amazon.com/images/I/51gz4v5BxTL.jpg,751532,width,78.0 inch
https://m.media-amazon.com/images/I/61D2A-LxNnL.jpg,478233,height,10.1 inch
https://m.media-amazon.com/images/I/51INxCAF0TL.jpg,943839,depth,2.88 inch
https://m.media-amazon.com/images/I/81-zmM+W8BL.jpg,487566,item_weight,1.8 pound
https://m.media-amazon.com/images/I/51nHF2ebjcL.jpg,970563,height,71.0 centimetre
https://m.media-amazon.com/images/I/61+fi9MKzRL.jpg,192007,depth,2.55 inch
https://m.media-amazon.com/images/I/51f7mBQtF7L.jpg,507988,item_weight,93.0 pound
https://m.media-amazon.com/images/I/51pbHMuYfSL.jpg,816782,depth,120.0 centimetre
https://m.media-amazon.com/images/I/618YCp5wl0L.jpg,810266,height,15.0 centimetre
https://m.media-amazon.com/images/I/81OwMTY0jML.jpg,558374,item_weight,368 gram
https://m.media-amazon.com/images/I/41DmKhq55rL.jpg,849273,height,66.0 centimetre
https://m.media-amazon.com/images/I/61qUeIeSlpL.jpg,601746,item_weight,7.0 pound
https://m.media-amazon.com/images/I/41iw5uC5PdL.jpg,470067,height,16.0 centimetre
https://m.media-amazon.com/images/I/519jDwALeGL.jpg,284992,height,34.0 centimetre
https://m.media-amazon.com/images/I/81PuTGqmVFL.jpg,489118,item_weight,177.1 gram
https://m.media-amazon.com/images/I/618gm0BC7yL.jpg,192132,item_weight,2.0 gram
https://m.media-amazon.com/images/I/51w8QiQ3urL.jpg,846116,height,69.0 inch
https://m.media-amazon.com/images/I/61EXMnhD4TL.jpg,750883,depth,55.0 millimetre
https://m.media-amazon.com/images/I/71-rJfFGdIL.jpg,641642,voltage,12.0 volt
https://m.media-amazon.com/images/I/81ii40G6i2L.jpg,752266,voltage,12.0 volt
https://m.media-amazon.com/images/I/817NXZCON6L.jpg,459516,item_weight,300.0 milligram
https://m.media-amazon.com/images/I/51hRU2bnbZL.jpg,462731,width,0.8 inch
https://m.media-amazon.com/images/I/61CRv6D4M2L.jpg,630390,item_weight,2 kilogram
https://m.media-amazon.com/images/I/51AyQ4pKwKL.jpg,616171,height,100.0 millimetre
https://m.media-amazon.com/images/I/51YQx8+8CsL.jpg,960361,width,34.0 centimetre
https://m.media-amazon.com/images/I/611UUwdWZGL.jpg,721522,height,0.8 inch
https://m.media-amazon.com/images/I/51gx-07wRVL.jpg,801829,width,71.0 centimetre
https://m.media-amazon.com/images/I/713YtTGT--S.jpg,318770,wattage,2.0 watt
https://m.media-amazon.com/images/I/51FoFlJoEbL.jpg,630869,depth,26.0 centimetre
https://m.media-amazon.com/images/I/51eqORfNAKL.jpg,705487,width,150.0 centimetre
https://m.media-amazon.com/images/I/51BJws4oR9L.jpg,932289,depth,250.0 centimetre
https://m.media-amazon.com/images/I/51vCcMv4EKL.jpg,903603,depth,30.0 centimetre
https://m.media-amazon.com/images/I/41yqaPBbOzL.jpg,894599,depth,140.0 millimetre
https://m.media-amazon.com/images/I/61ANKpx0feL.jpg,178778,height,4.48 inch
https://m.media-amazon.com/images/I/612g0ajem0L.jpg,208023,width,18.0 centimetre
https://m.media-amazon.com/images/I/71fNZHdOApL.jpg,459516,item_weight,900 gram
https://m.media-amazon.com/images/I/51KskG-If6L.jpg,220662,depth,60.0 millimetre
https://m.media-amazon.com/images/I/412OxlJmivL.jpg,115666,height,45.0 centimetre
https://m.media-amazon.com/images/I/51UbrwVpPUS.jpg,866315,height,7.0 inch
https://m.media-amazon.com/images/I/51jGQCiFw9L.jpg,150535,depth,17.7 centimetre
https://m.media-amazon.com/images/I/71D21+eOphL.jpg,225091,item_weight,8.0 kilogram
